"ACCENUMB"	"alt"	"slope"	"wind_1"	"wind_7"	"wind_annual"	"srad_1"	"srad_7"	"srad_annual"
"1_new"	258	1.1625839471817	2.64400005340576	2.25200009346008	2.36033344268799	20627	17563	18381.916015625
"10054"	162	0.397378593683243	2.29999995231628	1.58800005912781	1.90866661071777	20223	18761	18703.833984375
"102"	294	0.21262800693512	2.59999990463257	1.60000002384186	2.00833320617676	19540	18528	18269
"10703"	67	0.936543881893158	4.46000003814697	3.3600001335144	3.85400009155273	20408	16739	18030.75
"10759"	116	0.0802644565701485	2.29999995231628	1.5440000295639	1.90366661548615	20214	18756	18675.666015625
"10898"	116	0.0802644565701485	2.29999995231628	1.5440000295639	1.90366661548615	20214	18756	18675.666015625
"11010"	116	0.0802644565701485	2.29999995231628	1.5440000295639	1.90366661548615	20214	18756	18675.666015625
"1119"	100	0.823940575122833	4.30399990081787	3.22000002861023	3.7039999961853	20420	16776	18090.083984375
"1151"	2372	4.34719181060791	3.04399991035461	2.3199999332428	2.71266674995422	19135	15184	16815
"1154"	2216	3.06748604774475	2.97200012207031	2.24799990653992	2.63700008392334	18935	15376	16725.833984375
"11541"	73	0.103728197515011	2.90000009536743	1.79999995231628	2.253666639328	19064	18477	18078.666015625
"11572"	42	0.267571210861206	2.70000004768372	1.60000002384186	2.03266668319702	19014	18562	18041.083984375
"11615"	99	0.0817351564764977	2.79999995231628	1.70000004768372	2.13366675376892	19194	18487	18084
"1166"	889	4.54440021514893	1.72000002861023	1.41199994087219	1.51166665554047	17119	17019	16831.833984375
"1186"	393	1.59694004058838	3.28399991989136	2	2.72300004959106	18618	16375	16921.75
"1228147005"	503	1.35891795158386	2.31599998474121	1.89600002765656	2.06866669654846	16508	16362	16025.8330078125
"1228364460"	158	0.463121294975281	1.81599998474121	1.39999997615814	1.53733336925507	17628	18046	17404.75
"1228375861"	1374	1.97310495376587	1.86799991130829	1.5	1.64466667175293	16755	15726	15999.3330078125
"124"	27	0.0308709591627121	2.90000009536743	1.60000002384186	2.16499996185303	18818	18651	18032.166015625
"12424"	116	0.0802644565701485	2.29999995231628	1.5440000295639	1.90366661548615	20214	18756	18675.666015625
"1253"	418	0.416967809200287	2.40000009536743	1.60000002384186	1.97366666793823	20177	18519	18558
"12558"	116	0.0802644565701485	2.29999995231628	1.5440000295639	1.90366661548615	20214	18756	18675.666015625
"1257606805"	618	3.51845097541809	2.76399993896484	1.89999997615814	2.37400007247925	19342	17390	17805
"1257607568"	923	1.50368404388428	2.80799984931946	1.79999995231628	2.39966654777527	18934	16523	17114.833984375
"1259102744"	977	0.716834008693695	2.83999991416931	1.87199997901917	2.46099996566772	19325	16560	17300.333984375
"1259380700"	7	0.0186507608741522	4.1399998664856	2.6399998664856	3.29566669464111	18875	18574	17951.5
"1259705771"	35	0.522279918193817	2.72000002861023	2.51999998092651	2.5770001411438	20521	17681	18448.5
"1259705850"	1444	3.9684419631958	2.12800002098083	1.7039999961853	1.86366665363312	20415	17570	18348.916015625
"1259706169"	1217	3.93400192260742	2.10800004005432	1.70000004768372	1.85866665840149	20512	17464	18392.583984375
"1259706188"	527	1.88151705265045	2.58799982070923	1.74800002574921	2.15633344650269	17533	15951	16368
"1259706327"	996	2.50236511230469	1.91999995708466	1.5	1.65266668796539	20283	17743	18344.916015625
"1259706491"	1145	1.32516694068909	2.96000003814697	2.06800007820129	2.48600006103516	18893	19191	18679
"1259706506"	51	0.439206093549728	2.55999994277954	2.1800000667572	2.35583329200745	20076	18048	18495.333984375
"1259706777"	115	0.293880313634872	2.90000009536743	1.94799995422363	2.3733332157135	19360	18429	18288
"1259706853"	115	0.262101590633392	2.50399994850159	1.89999997615814	2.18066668510437	16360	16436	16067.25
"1259707328"	1109	4.1568808555603	2.16000008583069	1.74800002574921	1.91466665267944	20365	17470	18272.833984375
"1259707602"	63	3.05152201652527	4.25	3.46250009536743	3.90104150772095	17302	16468	16541.25
"1259707893"	1580	0.842710912227631	2.77999997138977	1.90399992465973	2.35566663742065	19085	15497	16885.166015625
"1259708134"	2	0.0138059100136161	3.56799983978271	2.81599998474121	3.21000003814697	19089	18246	18062.416015625
"1259708347"	NA	NA	NA	NA	NA	NA	NA	NA
"1259708653"	31	0.207237303256989	3.20000004768372	2	2.51933336257935	18698	18391	17938.25
"1259708951"	1611	2.94554090499878	2.26399993896484	1.82400000095367	2.00699996948242	20495	17413	18336.833984375
"1259709059"	1149	3.22775888442993	2.52799987792969	1.7039999961853	2.20799994468689	20222	17019	17863.25
"1259709358"	8	0.0117553099989891	4.01200008392334	2.83999991416931	3.35733342170715	18078	18435	17669.166015625
"1259709678"	1	0.0111306803300977	4.50799989700317	3.49600005149841	3.97333335876465	18565	18313	17944
"1259709882"	145	0.344459712505341	2.68799996376038	1.70000004768372	2.13133335113525	19554	18516	18385.5
"1259709892"	403	1.56869101524353	3.25200009346008	1.99199998378754	2.70966672897339	18684	16321	16935.75
"1259709894"	1323	3.53916692733765	2.07599997520447	1.65200006961823	1.81633329391479	20419	17665	18387.75
"1259710084"	1075	1.76733195781708	1.94400000572205	1.51999998092651	1.67166662216187	20351	17746	18415.25
"1259710147"	-1	0.0276118293404579	4.27142858505249	3.5	3.90833330154419	19118	18126	18087.916015625
"1259710271"	43	0.141147896647453	3.42400002479553	2.40000009536743	2.86899995803833	18881	18254	18014.333984375
"1259710350"	527	1.88151705265045	2.58799982070923	1.74800002574921	2.15633344650269	17533	15951	16368
"1259710377"	9	0.00654871994629502	3.39600014686584	2.17199993133545	2.67866659164429	18830	18456	17989.166015625
"1259710420"	896	3.32288289070129	2.8199999332428	1.80799996852875	2.39100003242493	18775	16522	17025.25
"1259710578"	1106	4.9311900138855	2.08399987220764	1.66400003433228	1.82833325862885	20362	17533	18272.166015625
"1259710616"	2216	3.06748604774475	2.97200012207031	2.24799990653992	2.63700008392334	18935	15376	16725.833984375
"1259710705"	1452	1.9492039680481	1.89600002765656	1.5	1.64666664600372	16896	15773	16061.8330078125
"1259710785"	758	5.60095596313477	1.74800002574921	1.34399998188019	1.48566663265228	20502	17364	18340.5
"1259711031"	1464	2.58914804458618	1.97599995136261	1.50800001621246	1.63800001144409	20293	17119	18170.75
"1259711321"	442	3.31214308738708	2.59999990463257	1.79999995231628	2.23000001907349	19638	17862	18115.083984375
"1259711379"	696	4.19735097885132	2.20000004768372	1.79999995231628	1.96933329105377	20320	17573	18353.583984375
"1259711449"	595	3.37538504600525	1.6360000371933	1.20000004768372	1.33166670799255	20331	17336	18150.416015625
