"ACCENUMB"	"OBJECTID"	"INSTCODE"	"COLLNUMB"	"COLLCODE"	"COLLNAME"	"COLLINSTADDRESS"	"COLLMISSID"	"GENUS"	"SPECIES"	"SPAUTHOR"	"SUBTAXA"	"SUBTAUTHOR"	"CROPNAME"	"ACCENAME"	"ACQDATE"	"ORIGCTY"	"NAMECTY"	"ADM1"	"ADM2"	"ADM3"	"ADM4"	"COLLSITE"	"DECLATITUDE"	"LATITUDE"	"DECLONGITUDE"	"LONGITUDE"	"COORDUNCERT"	"COORDDATUM"	"GEOREFMETH"	"ELEVATION"	"COLLDATE"	"BREDCODE"	"BREDNAME"	"SAMPSTAT"	"ANCEST"	"COLLSRC"	"DONORCODE"	"DONORNAME"	"DONORNUMB"	"OTHERNUMB"	"DUPLSITE"	"DUPLINSTNAME"	"STORAGE"	"MLSSTAT"	"REMARKS"	"globlandc"	"DISTOLAND"	"SUITQUAL"	"ID_0"	"ISO"	"NAME_0"	"ID_1"	"NAME_1"	"VARNAME_1"	"ENGTYPE_1"	"ID_2"	"NAME_2"	"VARNAME_2"	"ENGTYPE_2"	"ID_3"	"NAME_3"	"VARNAME_3"	"ENGTYPE_3"	"ID_4"	"NAME_4"	"VARNAME_4"	"ENGTYPE4"	"NIVELMAX"	"LOCALQUAL"	"COORQUAL"	"intertemp"	"errores"	"precis"	"georble"	"GEOREFMETH1"	"TOTALQUAL"	"TOTALQUAL100"
"AMZ129"	173060	"MUZ"	"AA152"	NA	NA	NA	NA	"Verbascum "	"deserticola "	"(Murb.) Huber-Morath"	"var. deserticola"	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Road to Jabal Al-Figrah, Medina"	24.323267	NA	39.084267	NA	NA	NA	100	930	20210307	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	"10;50"	0	NA	12	0	20	198	"SAU"	"Saudi Arabia"	5	"Al Madinah"	"Madinah|Al Madinah al Munawwarah|Monwarah|Medina|Médine"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	50	83.3333333333333
"AMZ130"	173059	"MUZ"	"AA147"	NA	NA	NA	NA	"Verbascum "	"deserticola "	"(Murb.) Huber-Morath"	"var. deserticola"	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Tabuk road between Duba and Shigry, near Ras Al-Khuraytah primary school, Tabuk"	27.7943	NA	36.002583	NA	NA	NA	100	929	20210302	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	"10;50"	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ131"	173059	"MUZ"	"AA211"	NA	NA	NA	NA	"Verbascum "	"deserticola "	"(Murb.) Huber-Morath"	"var. deserticola"	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Near Jabal Shar, Tabuk"	27.656805	NA	35.805262	NA	NA	NA	100	900	20230417	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ132"	173059	"K"	"IS8213"	NA	NA	NA	NA	"Verbascum "	"sinaiticum  "	"Benth."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Al-Lawz, S of Aqaba, Wadi Lakus, Tabuk"	28.679237	NA	35.321617	NA	NA	NA	200	1585	19920505	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	18	1	1	3	3	2	33	55
"AMZ133"	173059	"KSU"	"JT24311"	NA	NA	NA	NA	"Verbascum "	"sinaiticum  "	"Benth."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Al-Lawz, Tabuk"	28.719919	NA	35.289363	NA	NA	NA	200	1600	20160602	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	2	35	58.3333333333333
"AMZ134"	173059	"KSU"	"JT23741"	NA	NA	NA	NA	"Verbascum "	"sinaiticum  "	"Benth."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Wadi Al-Disah, Tabuk"	27.631671	NA	36.550361	NA	NA	NA	200	NA	20140401	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA	14	0	15	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	2	45	75
"AMZ135"	173059	"KSU"	"MM23366"	NA	NA	NA	NA	"Verbascum "	"sinaiticum  "	"Benth."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Al-Lawz, Tabuk"	28.673861	NA	35.324737	NA	NA	NA	200	NA	20160506	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA	14	0	15	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	2	45	75
"AMZ136"	173059	"MUZ"	"AA181"	NA	NA	NA	NA	"Verbascum "	"sinaiticum  "	"Benth."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Al-Lawz, Tabuk"	28.73925	NA	35.336283	NA	NA	NA	100	1939	20210617	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	"10;50"	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ137"	173059	"MUZ"	"AA87"	NA	NA	NA	NA	"Verbascum "	"sinaiticum  "	"Benth."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Wadi Al-Disah, Tabuk"	27.635433	NA	36.55805	NA	NA	NA	100	730	20200821	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	"50"	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ138"	173059	"MUZ"	"AA88"	NA	NA	NA	NA	"Verbascum "	"sinaiticum  "	"Benth."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Al-Lawz, Tabuk"	28.719067	NA	35.348383	NA	NA	NA	100	1814	20200822	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ139"	173059	"MUZ"	"AA91"	NA	NA	NA	NA	"Verbascum "	"sinaiticum  "	"Benth."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Al-Lawz, Tabuk"	28.739633	NA	35.336483	NA	NA	NA	100	1942	20200822	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ140"	173059	"MUZ"	"AA92"	NA	NA	NA	NA	"Verbascum "	"sinaiticum  "	"Benth."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Al-Lawz, Tabuk"	28.738917	NA	35.335983	NA	NA	NA	100	1930	20200822	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ141"	173059	"MUZ"	"AA93"	NA	NA	NA	NA	"Verbascum "	"sinaiticum  "	"Benth."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Al-Lawz, Tabuk"	28.7383	NA	35.335767	NA	NA	NA	100	1935	20200822	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ142"	173059	"MUZ"	"AA94"	NA	NA	NA	NA	"Verbascum "	"sinaiticum  "	"Benth."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Al-Lawz, Tabuk"	28.740117	NA	35.336267	NA	NA	NA	100	1950	20200822	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ143"	173059	"MUZ"	"AA95"	NA	NA	NA	NA	"Verbascum "	"sinaiticum  "	"Benth."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Al-Lawz, Tabuk"	28.739283	NA	35.328767	NA	NA	NA	100	1962	20200822	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ144"	173059	"MUZ"	"AA96"	NA	NA	NA	NA	"Verbascum "	"sinaiticum  "	"Benth."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Al-Lawz, Tabuk"	28.739167	NA	35.327417	NA	NA	NA	100	1964	20200822	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ145"	173059	"MUZ"	"AA97"	NA	NA	NA	NA	"Verbascum "	"sinaiticum  "	"Benth."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Al-Lawz, Tabuk"	28.73895	NA	35.326183	NA	NA	NA	100	1966	20200822	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ146"	173059	"MUZ"	"AA98"	NA	NA	NA	NA	"Verbascum "	"sinaiticum  "	"Benth."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Al-Lawz, Tabuk"	28.738667	NA	35.325067	NA	NA	NA	100	1967	20200822	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ147"	173059	"MUZ"	"AA99"	NA	NA	NA	NA	"Verbascum "	"sinaiticum  "	"Benth."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Al-Lawz, Tabuk"	28.733333	NA	35.32755	NA	NA	NA	100	2015	20200822	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ148"	173059	"MUZ"	"AA100"	NA	NA	NA	NA	"Verbascum "	"sinaiticum  "	"Benth."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Al-Lawz, Tabuk"	28.732733	NA	35.32795	NA	NA	NA	100	2027	20200822	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ149"	173059	"MUZ"	"AA101"	NA	NA	NA	NA	"Verbascum "	"sinaiticum  "	"Benth."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Al-Lawz, Tabuk"	28.730567	NA	35.327633	NA	NA	NA	100	2050	20200822	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ150"	173059	"MUZ"	"AA102"	NA	NA	NA	NA	"Verbascum "	"sinaiticum  "	"Benth."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Al-Lawz, Tabuk"	28.72725	NA	35.32425	NA	NA	NA	100	2059	20200822	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ156"	173061	"K"	"LA14165"	NA	NA	NA	NA	"Verbascum"	"saudiarabicum"	"(A.Alzahrani) A.Alzahrani"	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Al Mahmoud, 35 km N of Abha,10 km below Jabal Al-Soudah"	18.345469	NA	42.368916	NA	NA	NA	200	NA	19800521	NA	NA	100	NA	11	NA	NA	NA	NA	NA	NA	NA	0	NA	14	0	15	198	"SAU"	"Saudi Arabia"	1	"`Asir"	"Asir|Aseer|Assyear"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	18	1	1	3	3	2	43	71.6666666666667
"AMZ157"	173061	"K"	"IS3316"	NA	NA	NA	NA	"Verbascum"	"saudiarabicum"	"(A.Alzahrani) A.Alzahrani"	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Al-Soudah, Al-Soudah, 25 km NW of Abha"	18.26778	NA	42.37029	NA	NA	NA	200	2800	19820222	NA	NA	100	NA	11	NA	NA	NA	NA	NA	NA	NA	0	NA	3	0	20	198	"SAU"	"Saudi Arabia"	1	"`Asir"	"Asir|Aseer|Assyear"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	18	1	1	3	3	2	48	80
"AMZ158"	173059	"MUZ"	"AA212"	NA	NA	NA	NA	"Verbascum "	"shiqricum "	"Hemaid"	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Near Alaqan, road to Al-Sharaf, Tabuk "	28.86761	NA	35.639173	NA	NA	NA	100	1217	20230417	NA	NA	100	NA	14	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ159"	173060	"MUZ"	"AA149"	NA	NA	NA	NA	"Verbascum "	"shiqricum "	"Hemaid"	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Near Bir Al-Qurr, Al-Ula, Medina"	26.377567	NA	37.420767	NA	NA	NA	100	1160	20210305	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	"50"	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	5	"Al Madinah"	"Madinah|Al Madinah al Munawwarah|Monwarah|Medina|Médine"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ160"	173054	"MUZ"	"AA150"	NA	NA	NA	NA	"Verbascum "	"shiqricum "	"Hemaid"	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Harrat Khaybar, near Jabal Abyad, Khaybar"	25.688567	NA	39.995567	NA	NA	NA	100	1675	20210306	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	"10;50"	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	9	"Ha'il"	"Hail"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ161"	173054	"MUZ"	"AA151"	NA	NA	NA	NA	"Verbascum "	"shiqricum "	"Hemaid"	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Harrat Khaybar, near Jabal Abyad, Khaybar"	25.689067	NA	39.99525	NA	NA	NA	100	1679	20210306	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	"50"	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	9	"Ha'il"	"Hail"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ162"	173059	"MUZ"	"AA180"	NA	NA	NA	NA	"Verbascum "	"shiqricum "	"Hemaid"	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Tabuk road between Duba and Shigry, near Shigry, Tabuk"	28.034217	NA	36.030433	NA	NA	NA	100	1110	20210616	NA	NA	100	NA	14	NA	NA	NA	NA	NA	NA	"10;50"	0	NA	14	0	15	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	45	75
"AMZ163"	173053	"MUZ"	"AA146"	NA	NA	NA	NA	"Verbascum "	"shiqricum "	"Hemaid"	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Alaqan, near Jordan borders, Tabuk"	29.149217	NA	35.42445	NA	NA	NA	100	1295	20210301	NA	NA	100	NA	14	NA	NA	NA	NA	NA	NA	"50"	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	4	"Al Jawf"	"JawfAl Joaf|Al-Jouf|Jowf"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ164"	173059	"K"	"IS1013"	NA	NA	NA	NA	"Verbascum "	"shiqricum "	"Hemaid"	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Wadi Qaraqir, Tabuk"	27.682661	NA	36.439064	NA	NA	NA	200	1066	19790310	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	18	1	1	3	3	2	33	55
"AMZ165"	173060	"MUZ"	"AA213"	NA	NA	NA	NA	"Verbascum "	"shiqricum "	"Hemaid"	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Harrat Uwayrid, Medina"	27.165339	NA	37.619046	NA	NA	NA	100	1312	20230420	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	5	"Al Madinah"	"Madinah|Al Madinah al Munawwarah|Monwarah|Medina|Médine"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ166"	173058	"MUZ"	"AA164"	NA	NA	NA	NA	"Verbascum "	"melhanense"	"(Murb.) Hub.-Mor."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"King Khalid road between Qilwah and Al-Baha, Al-Baha"	20.019417	NA	41.3941	NA	NA	NA	100	2020	20210313	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	"10;50"	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	2	"Al Bahah"	"Baha"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ167"	173061	"MUZ"	"AA109"	NA	NA	NA	NA	"Verbascum "	"melhanense"	"(Murb.) Hub.-Mor."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Mna'a, Tanomah, Abha"	18.961783	NA	42.174467	NA	NA	NA	100	2280	20200830	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	"10;50"	0	NA	14	0	15	198	"SAU"	"Saudi Arabia"	1	"`Asir"	"Asir|Aseer|Assyear"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	45	75
"AMZ168"	173061	"MUZ"	"AA110"	NA	NA	NA	NA	"Verbascum "	"melhanense"	"(Murb.) Hub.-Mor."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Mna'a, Tanomah, Abha"	18.962933	NA	42.17335	NA	NA	NA	100	2301	20200830	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA	14	0	15	198	"SAU"	"Saudi Arabia"	1	"`Asir"	"Asir|Aseer|Assyear"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	45	75
"AMZ169"	173061	"MUZ"	"AA111"	NA	NA	NA	NA	"Verbascum "	"melhanense"	"(Murb.) Hub.-Mor."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Mna'a, Tanomah, Abha"	18.962917	NA	42.174167	NA	NA	NA	100	2337	20200830	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA	14	0	15	198	"SAU"	"Saudi Arabia"	1	"`Asir"	"Asir|Aseer|Assyear"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	45	75
"AMZ170"	173061	"MUZ"	"AA112"	NA	NA	NA	NA	"Verbascum "	"melhanense"	"(Murb.) Hub.-Mor."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Mna'a, Tanomah, Abha"	18.963767	NA	42.1739	NA	NA	NA	100	2359	20200830	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA	14	0	15	198	"SAU"	"Saudi Arabia"	1	"`Asir"	"Asir|Aseer|Assyear"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	45	75
"AMZ171"	173063	"MUZ"	"AA4"	NA	NA	NA	NA	"Verbascum "	"melhanense"	"(Murb.) Hub.-Mor."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Al-Hasher, Jazan"	17.447117	NA	43.03885	NA	NA	NA	100	2001	20200810	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	10	"Jizan"	"Jazan|Qizan"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ172"	173063	"MUZ"	"AA3"	NA	NA	NA	NA	"Verbascum "	"melhanense"	"(Murb.) Hub.-Mor."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Al-Hasher, Jazan"	17.447	NA	43.038783	NA	NA	NA	100	2001	20200810	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	10	"Jizan"	"Jazan|Qizan"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ173"	173063	"MUZ"	"AA2"	NA	NA	NA	NA	"Verbascum "	"melhanense"	"(Murb.) Hub.-Mor."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Al-Hasher, Jazan"	17.446983	NA	43.03875	NA	NA	NA	100	2001	20200810	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	10	"Jizan"	"Jazan|Qizan"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ174"	173063	"MUZ"	"AA1"	NA	NA	NA	NA	"Verbascum "	"melhanense"	"(Murb.) Hub.-Mor."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Fayfa, Jazan"	17.252917	NA	43.0949	NA	NA	NA	100	1853	20200809	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	"50"	0	NA	3	0	20	198	"SAU"	"Saudi Arabia"	10	"Jizan"	"Jazan|Qizan"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	50	83.3333333333333
