"ACCENUMB"	"OBJECTID"	"INSTCODE"	"COLLNUMB"	"COLLCODE"	"COLLNAME"	"COLLINSTADDRESS"	"COLLMISSID"	"GENUS"	"SPECIES"	"SPAUTHOR"	"SUBTAXA"	"SUBTAUTHOR"	"CROPNAME"	"ACCENAME"	"ACQDATE"	"ORIGCTY"	"NAMECTY"	"ADM1"	"ADM2"	"ADM3"	"ADM4"	"COLLSITE"	"DECLATITUDE"	"LATITUDE"	"DECLONGITUDE"	"LONGITUDE"	"COORDUNCERT"	"COORDDATUM"	"GEOREFMETH"	"ELEVATION"	"COLLDATE"	"BREDCODE"	"BREDNAME"	"SAMPSTAT"	"ANCEST"	"COLLSRC"	"DONORCODE"	"DONORNAME"	"DONORNUMB"	"OTHERNUMB"	"DUPLSITE"	"DUPLINSTNAME"	"STORAGE"	"MLSSTAT"	"REMARKS"	"globlandc"	"DISTOLAND"	"SUITQUAL"	"ID_0"	"ISO"	"NAME_0"	"ID_1"	"NAME_1"	"VARNAME_1"	"ENGTYPE_1"	"ID_2"	"NAME_2"	"VARNAME_2"	"ENGTYPE_2"	"ID_3"	"NAME_3"	"VARNAME_3"	"ENGTYPE_3"	"ID_4"	"NAME_4"	"VARNAME_4"	"ENGTYPE4"	"NIVELMAX"	"LOCALQUAL"	"COORQUAL"	"intertemp"	"errores"	"precis"	"georble"	"GEOREFMETH1"	"TOTALQUAL"	"TOTALQUAL100"
"AMZ109"	173060	"MUZ"	"AA106"	NA	NA	NA	NA	"Verbascum  "	"medinecum"	"Hemaid"	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Al-Figrah, Medina"	24.3442	NA	38.949517	NA	NA	NA	100	1755	20200826	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA	14	0	15	198	"SAU"	"Saudi Arabia"	5	"Al Madinah"	"Madinah|Al Madinah al Munawwarah|Monwarah|Medina|M√©dine"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	45	75
"AMZ110"	173060	"MUZ"	"AA105"	NA	NA	NA	NA	"Verbascum  "	"medinecum"	"Hemaid"	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Al-Figrah, Medina"	24.344167	NA	38.950333	NA	NA	NA	100	1750	20200826	NA	NA	100	NA	23	NA	NA	NA	NA	NA	NA	NA	0	NA	14	0	15	198	"SAU"	"Saudi Arabia"	5	"Al Madinah"	"Madinah|Al Madinah al Munawwarah|Monwarah|Medina|M√©dine"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	45	75
"AMZ111"	173060	"MUZ"	"AA103"	NA	NA	NA	NA	"Verbascum  "	"medinecum"	"Hemaid"	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Al-Figrah, Medina"	24.344167	NA	38.9504	NA	NA	NA	100	1750	20200826	NA	NA	100	NA	23	NA	NA	NA	NA	NA	NA	NA	0	NA	14	0	15	198	"SAU"	"Saudi Arabia"	5	"Al Madinah"	"Madinah|Al Madinah al Munawwarah|Monwarah|Medina|M√©dine"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	45	75
"AMZ112"	173059	"K"	"IS527"	NA	NA	NA	NA	"Verbascum  "	"schimperianum "	"Boiss."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Wadi Sawawin, Tabuk"	27.958202	NA	35.775274	NA	NA	NA	200	600	19780326	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	18	1	1	3	3	2	33	55
"AMZ113"	173059	"MUZ"	"AA209"	NA	NA	NA	NA	"Verbascum  "	"schimperianum "	"Boiss."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Ain Al-Shayatei, Tabuk"	28.230708	NA	35.576656	NA	NA	NA	100	1260	20230311	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ114"	173059	"MUZ"	"AA210"	NA	NA	NA	NA	"Verbascum  "	"schimperianum "	"Boiss."	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Near Ain Al-Shayatei, Tabuk"	28.226568	NA	35.614039	NA	NA	NA	100	1272	20230312	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA	14	0	15	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	45	75
"AMZ115"	173052	"MUZ"	"AA148"	NA	NA	NA	NA	"Verbascum "	"transjordanicum "	"Murb."	NA	NA	"transjordan mulleiní, 'Abu Ainí"	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Near Harrat Al-Harrat Reserve, Turaif province."	31.21815	NA	39.525383	NA	NA	NA	100	832	20210304	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	"50"	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	3	"Al Hudud ash Shamaliyah"	"Northern Frontier"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ116"	173059	"K"	"IS717"	NA	NA	NA	NA	"Verbascum "	"decaisneanum "	"O. Kuntze"	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"North Hijaz, Jabal Dabbagh, Tabuk"	28.740136	NA	35.327953	NA	NA	NA	200	1677	19780504	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	18	1	1	3	3	2	33	55
"AMZ117"	173059	"KSU"	"JT23970"	NA	NA	NA	NA	"Verbascum "	"deserticola "	"(Hemaid)"	"var. sheilae "	" A.Alzahrani"	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Wadi Disah, wadi Qaraqir, Tabuk"	27.635797	NA	36.573516	NA	NA	NA	200	NA	20130308	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA	12	0	20	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	2	50	83.3333333333333
"AMZ118"	173059	"KSU"	"JT23742"	NA	NA	NA	NA	"Verbascum "	"deserticola "	"(Hemaid)"	"var. sheilae "	" A.Alzahrani"	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Wadi Disah, SW of Tabuk, Tabuk"	27.643458	NA	36.507926	NA	NA	NA	200	NA	20140401	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	2	35	58.3333333333333
