"Variables"	"X1"	"X2"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"t_bulk_dens"	61.711163493028	-0.549671285908526	60.7267820872676	65.7247293314155
"t_oc_dens"	60.8984291135375	-1.91534972605926	60.2400991519399	60.2646624152401
"t_oc_stock"	60.4455571976272	1.04664559350111	60.0814841283213	63.520744449828
"t_awcts"	58.613396367926	-1.34486488874033	57.5441141804099	58.4251862875363
"t_awc1"	57.6877290675944	0.47577192223322	56.7429883925693	62.340479720484
"t_awc2"	56.6546949156627	-0.335536886565589	56.1590982254324	63.4154430666472
"t_awc3"	55.4146524972057	0.804352349951518	54.2362459131547	59.3706277271024
"t_oc_cont"	53.6223280966779	-1.62404870410003	52.42228182434	51.5978677815019
"t_clay_cont"	46.7480421422025	0.219053183532546	46.1637216352466	37.0221223694089
"t_cecsol"	43.6811938176422	0.457756743796108	42.8181797218084	39.8240128333165
"t_soilwater_cap"	42.4345801086483	-0.567727646835707	41.8353217656772	39.2227151993014
"t_silt_cont"	42.3617298887111	0.248203508195083	41.2258146064786	35.2868523178781
"t_ph_hox"	39.3829639073607	-0.960548018421244	38.5449364609082	38.9025415128446
"t_ph_kcl"	38.619238361716	0.471182453791145	38.0976914713296	34.847726552768
"r_horizon"	38.4700511316966	-2.06347882299147	37.9021533803849	40.0101728984721
"t_coarse_frag"	37.0468380079004	-1.33028703596178	36.2605703498385	29.1732382148076
"depth_rock"	36.6170449089545	-0.687736979408938	35.5645030267738	36.5450386429886
"t_sand_cont"	29.9789286838168	0.540389380714367	28.9104358978437	24.6069382805033
"sodicity"	6.41325642036139	1.22722067241686	6.02452686760933	0.424945582259657
