VARID	VARCODE	VARDESCR_EN	VARDESCR	VARUNIDAD	VARFUENTE	VARMODULO	FUENTELINK
65	t_sand	Contenido de arena en suelo superficial	Arena en suelo	% weight	HWS Database	Edafica	http://www.iiasa.ac.at/Research/LUC/External-World-soil-database/
66	t_silt	Contenido de limo en suelo superficial	Limo en suelo	% weight	HWS Database	Edafica	http://www.iiasa.ac.at/Research/LUC/External-World-soil-database/
67	t_teb	Bases intercambiables totales en suelo superficial	Bases int suelo	cmol/kg	HWS Database	Edafica	http://www.iiasa.ac.at/Research/LUC/External-World-soil-database/
68	tmax_1	Temperatura maxima de enero	Temp max 1	°C	Worldclim	Bioclimatica	http://worldclim.org
69	tmax_10	Temperatura maxima de octubre	Temp max 10	°C	Worldclim	Bioclimatica	http://worldclim.org
70	tmax_11	Temperatura maxima de noviembre	Temp max 11	°C	Worldclim	Bioclimatica	http://worldclim.org
71	tmax_12	Temperatura maxima de diciembre	Temp max 12	°C	Worldclim	Bioclimatica	http://worldclim.org
72	tmax_2	Temperatura maxima de febrero	Temp max 2	°C	Worldclim	Bioclimatica	http://worldclim.org
73	tmax_3	Temperatura maxima de marzo	Temp max 3	°C	Worldclim	Bioclimatica	http://worldclim.org
74	tmax_4	Temperatura maxima de abril	Temp max 4	°C	Worldclim	Bioclimatica	http://worldclim.org
75	tmax_5	Temperatura maxima de mayo	Temp max 5	°C	Worldclim	Bioclimatica	http://worldclim.org
76	tmax_6	Temperatura maxima de junio	Temp max 6	°C	Worldclim	Bioclimatica	http://worldclim.org
77	tmax_7	Temperatura maxima de julio	Temp max 7	°C	Worldclim	Bioclimatica	http://worldclim.org
78	tmax_8	Temperatura maxima de agosto	Temp max 8	°C	Worldclim	Bioclimatica	http://worldclim.org
79	tmax_9	Temperatura maxima de septiembre	Temp max 9	°C	Worldclim	Bioclimatica	http://worldclim.org
80	tmean_1	Temperatura media de enero	Temp prom 1	°C	Worldclim	Bioclimatica	http://worldclim.org
81	tmean_10	Temperatura media de octubre	Temp prom 10	°C	Worldclim	Bioclimatica	http://worldclim.org
82	tmean_11	Temperatura media de noviembre	Temp prom 11	°C	Worldclim	Bioclimatica	http://worldclim.org
83	tmean_12	Temperatura media de diciembre	Temp prom 12	°C	Worldclim	Bioclimatica	http://worldclim.org
84	tmean_2	Temperatura media de febrero	Temp prom 2	°C	Worldclim	Bioclimatica	http://worldclim.org
85	tmean_3	Temperatura media de marzo	Temp prom 3	°C	Worldclim	Bioclimatica	http://worldclim.org
86	tmean_4	Temperatura media de abril	Temp prom 4	°C	Worldclim	Bioclimatica	http://worldclim.org
87	tmean_5	Temperatura media de mayo	Temp prom 5	°C	Worldclim	Bioclimatica	http://worldclim.org
88	tmean_6	Temperatura media de junio	Temp prom 6	°C	Worldclim	Bioclimatica	http://worldclim.org
89	tmean_7	Temperatura media de julio	Temp prom 7	°C	Worldclim	Bioclimatica	http://worldclim.org
90	tmean_8	Temperatura media de agosto	Temp prom 8	°C	Worldclim	Bioclimatica	http://worldclim.org
91	tmean_9	Temperatura media de septiembre	Temp prom 9	°C	Worldclim	Bioclimatica	http://worldclim.org
92	tmin_1	Temperatura minima de enero	Temp min 1	°C	Worldclim	Bioclimatica	http://worldclim.org
93	tmin_10	Temperatura minima de octubre	Temp min 10	°C	Worldclim	Bioclimatica	http://worldclim.org
94	tmin_11	Temperatura minima de noviembre	Temp min 11	°C	Worldclim	Bioclimatica	http://worldclim.org
95	tmin_12	Temperatura minima de diciembre	Temp min 12	°C	Worldclim	Bioclimatica	http://worldclim.org
96	tmin_2	Temperatura minima de febrero	Temp min 2	°C	Worldclim	Bioclimatica	http://worldclim.org
97	tmin_3	Temperatura minima de marzo	Temp min 3	°C	Worldclim	Bioclimatica	http://worldclim.org
98	tmin_4	Temperatura minima de abril	Temp min 4	°C	Worldclim	Bioclimatica	http://worldclim.org
99	tmin_5	Temperatura minima de mayo	Temp min 5	°C	Worldclim	Bioclimatica	http://worldclim.org
