Fuente	ID de la fuente	ESPECIE	"GENUS
"	"SPECIES
"	"ORIGCTY
"	"OBSDATE
"	"POPID
"	"MNGINSTNAME
"	MNGINSTADDRESS	"SPAUTHOR
"	"SUBTAXA
"	"SUBTAUTH
"	"OCCURSITE
"	"DECLATITUDE
"	"DECLONGITUDE
"	"COORDDATUM
"	"ELEVATION
"	SITEPROT	"POPSRC
"	SAMPSTAT	INSTNAME	INSTADDRESS	INSTNAME	"INSTCODE
"	HERBCODE	3.2.5.1	ACCEDOI	ACCENUMB	SPECNUMB	CONSACTION	MLSSTAT	LINKS	REMARKS
GBIF_CWRdiversity	1300909798	Cucurbita sp	Cucurbita	sp	CUB	00000000	614177			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1300909807	Cucurbita sp	Cucurbita	sp	CUB	00000000	614170			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1300909851	Cucurbita sp	Cucurbita	sp	CUB	00000000	614176			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1300910877	Cucurbita sp	Cucurbita	sp	CUB	00000000	615218			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1300910919	Cucurbita sp	Cucurbita	sp	CUB	00000000	615219			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1300965282	Rhynchosia minima	Rhynchosia	minima	CUB	00000000	669684			(L.) DC.											Bioversity-SINGER												
GBIF_CWRdiversity	1300965326	Rhynchosia minima	Rhynchosia	minima	CUB	00000000	669697			(L.) DC.											Bioversity-SINGER												
GBIF_CWRdiversity	1300982374	Solanum chacoense	Solanum	chacoense	CUB	00000000	686758			Bitter											Bioversity-ECPGR												
GBIF_CWRdiversity	1300984769	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	689168			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1300985503	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	689920			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1300985643	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	690066			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1300985656	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	690084			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1300985693	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	690085			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1300986598	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	690999			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1301144012	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	853722				lycopersicum										Bioversity-ECPGR												
GBIF_CWRdiversity	1301144196	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	854087				lycopersicum										Bioversity-ECPGR												
GBIF_CWRdiversity	1301188415	Oryza latifolia	Oryza	latifolia	CUB	00000000	898251	Empresa Nacional para la Protección de la Flora y la Fauna		Desv.				21.64586	-79.5167	WGS84					Bioversity-SINGER												
GBIF_CWRdiversity	1301345511	Phaseolus lunatus	Phaseolus	lunatus	CUB	00000000	1055873			L.			SANTIAGO DE CUBA - SANTIAGO DE CUBA - Market in Santiago de Cuba /  / Cuba	20.0167	-75.8167	WGS84					Bioversity-SINGER												
GBIF_CWRdiversity	1301345558	Phaseolus lunatus	Phaseolus	lunatus	CUB	00000000	1055958			L.			CIEGO DE AVILA - CIEGO DE AVILA - zona urbana de Ciego de Avila /  / Cuba	21.8333	-78.7667	WGS84					Bioversity-SINGER												
GBIF_CWRdiversity	1301345580	Phaseolus lunatus	Phaseolus	lunatus	CUB	00000000	1055962			L.			CIEGO DE AVILA - CIEGO DE AVILA - Chambas /  / Cuba	22.2	-78.9167	WGS84					Bioversity-SINGER												
GBIF_CWRdiversity	1301345584	Phaseolus lunatus	Phaseolus	lunatus	CUB	00000000	1055963			L.			CIEGO DE AVILA - CIEGO DE AVILA - Chambas /  / Cuba	22.2	-78.9167	WGS84					Bioversity-SINGER												
GBIF_CWRdiversity	1301345601	Phaseolus lunatus	Phaseolus	lunatus	CUB	00000000	1055967			L.			MATANZAS - VARADERO - near Varadero /  / Cuba	23.1667	-81.2667	WGS84					Bioversity-SINGER												
GBIF_CWRdiversity	1301345615	Phaseolus lunatus	Phaseolus	lunatus	CUB	00000000	1055971			L.			MATANZAS - VARADERO - near Varadero /  / Cuba	23.1667	-81.2667	WGS84					Bioversity-SINGER												
GBIF_CWRdiversity	1301346972	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1057354			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1301348876	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1059280			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1301349807	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1060276			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1301351089	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1061493			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1301351090	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1061499			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1301354414	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1064754			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1301354502	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1064947			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1301354877	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1065273			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1301355203	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1065587			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1301355208	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1065586			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1301356060	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1066482			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1301369354	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1079735			L.				21.5	-80	WGS84					Bioversity-SINGER												
GBIF_CWRdiversity	1301369699	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1080160			L.			Havana /  / Cuba	23.1333	-82.3667	WGS84					Bioversity-SINGER												
GBIF_CWRdiversity	1301374475	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1084952			L.			ISLE OF PINES - EL BOBO - EL BOBO /  / Cuba								Bioversity-SINGER												
GBIF_CWRdiversity	1301378198	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1088616			L.											Bioversity-SINGER												
GBIF_CWRdiversity	1301378202	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1088617			L.											Bioversity-SINGER												
GBIF_CWRdiversity	1301380698	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1091112			L.											Bioversity-SINGER												
GBIF_CWRdiversity	1301382566	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1092948			L.											Bioversity-SINGER												
GBIF_CWRdiversity	1301383807	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1094223			L.											Bioversity-SINGER												
GBIF_CWRdiversity	1301384890	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1095322			L.											Bioversity-SINGER												
GBIF_CWRdiversity	1301542522	Vicia ervilia	Vicia	ervilia	CUB	00000000	1252947			Willd.											Bioversity-ECPGR												
GBIF_CWRdiversity	1301566877	Vigna luteola	Vigna	luteola	CUB	00000000	1277609			(Jacq.) Benth.											Bioversity-SINGER												
GBIF_CWRdiversity	1301566910	Vigna luteola	Vigna	luteola	CUB	00000000	1277619			(Jacq.) Benth.											Bioversity-SINGER												
GBIF_CWRdiversity	1301567668	Vigna radiata	Vigna	radiata	CUB	00000000	1278430			(L.) R.Wilczek											Bioversity-ECPGR												
GBIF_CWRdiversity	1301570284	Vigna umbellata	Vigna	umbellata	CUB	00000000	1281044			(Thunb.) Ohwi & H.Ohashi											Bioversity-ECPGR												
GBIF_CWRdiversity	1301583516	Vigna unguiculata	Vigna	unguiculata	CUB	00000000	1294329			(L.) Walp.											Bioversity-SINGER												
GBIF_CWRdiversity	1301586638	Vigna unguiculata	Vigna	unguiculata	CUB	00000000	1297499			(L.) Walp.											Bioversity-ECPGR												
GBIF_CWRdiversity	1301586678	Vigna unguiculata	Vigna	unguiculata	CUB	00000000	1297494			(L.) Walp.											Bioversity-ECPGR												
GBIF_CWRdiversity	1301586711	Vigna unguiculata	Vigna	unguiculata	CUB	00000000	1297495			(L.) Walp.											Bioversity-ECPGR												
GBIF_CWRdiversity	1301586731	Vigna unguiculata	Vigna	unguiculata	CUB	00000000	1297498			(L.) Walp.											Bioversity-ECPGR												
GBIF_CWRdiversity	1301586735	Vigna unguiculata	Vigna	unguiculata	CUB	00000000	1297491			(L.) Walp.											Bioversity-ECPGR												
GBIF_CWRdiversity	1301586781	Vigna unguiculata	Vigna	unguiculata	CUB	00000000	1297543			(L.) Walp.											Bioversity-ECPGR												
GBIF_CWRdiversity	1301587365	Vigna unguiculata	Vigna	unguiculata	CUB	00000000	1298129			(L.) Walp.											Bioversity-ECPGR												
GBIF_CWRdiversity	1301587757	Vigna vexillata	Vigna	vexillata	CUB	00000000	1298529			(L.) A.Rich.											Bioversity-SINGER												
GBIF_CWRdiversity	1301641817	Cucumis dipsaceus	Cucumis	dipsaceus	CUB	00000000	1352567			Ehrenb. ex Spach			AGROFAR, Santo Domingo /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301653844	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1364710			L.			Baitiquiri /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301663974	Cucumis sativus	Cucumis	sativus	CUB	00000000	1374839				sativus		Cabanas /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301664019	Cucumis sativus	Cucumis	sativus	CUB	00000000	1374841				sativus		Cabanas /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301664045	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	1374842				lycopersicum		Cabanas /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301664118	Capsicum frutescens	Capsicum	frutescens	CUB	00000000	1374845			L.			Cabanas /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301670652	Brassica rapa	Brassica	rapa	CUB	00000000	1381414			L.			Central Espana Republicana /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301670735	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	1381417				lycopersicum		Central Espana Republicana /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301674665	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1385592			L.			Cienfuegos /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301674666	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1385593			L.			Cienfuegos /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301674667	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1385591			L.			Cienfuegos /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301674668	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1385596			L.			Cienfuegos /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301674669	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1385589			L.			Cienfuegos /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301674670	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1385597			L.			Cienfuegos /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301674671	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1385600			L.			Cienfuegos /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301674672	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1385601			L.			Cienfuegos /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301674673	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1385599			L.			Cienfuegos /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301674676	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1385603				vulgaris		Cienfuegos /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301674679	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1385607				vulgaris		Cienfuegos /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301674688	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	1385609			(L.) Karst. ex Farw.			Cienfuegos, Aguada de Pasajeros, Puente de Guayabales 0486 /  / Cuba								Bioversity-ECPGR												Nombre científico de la base de datos original se actualizó de acuerdo al nombre aceptado, principalmente como aparece en Kew (https://powo.science.kew.org/)
GBIF_CWRdiversity	1301674738	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	1385645				lycopersicum		Cifuentes, Villa Clara, Mata 0486 /  / Cuba								Bioversity-ECPGR												
GBIF_CWRdiversity	1301676374	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1387406			L.			Codicia, way to Cumanayagua /  / Cuba								Bioversity-ECPGR												
